username,full_name,followers,following,posts,is_private,is_verified,biography,timestamp
johnboozman,Senator John Boozman,16459,598,2184,False,True,"US Senator for AR & @SenateAgGOP Chair
Updates + a behind-the-scenes look at what I’m up to on behalf of The Natural State
#ARinDC #ServingAR 🐗🌾💎🦆🏞🇺🇸",2025-12-08 23:33:49
repvern,Congressman Vern Buchanan,5911,281,899,False,True,"Vice Chairman, Ways and Means | Member, JCT | Serving Florida’s 16th Congressional District, including Manatee and Hillsborough Counties",2025-12-08 23:33:58
repkencalvert,Rep. Ken Calvert,4436,233,769,False,True,Official account for U.S. Representative Ken Calvert (CA-41).,2025-12-08 23:34:10
sencapito,Senator Shelley Moore Capito,13885,84,926,False,True,"💕Mom, grandmother x 9, and wife
🏃🏼‍♀️Runner
😀Eternal Optimist
 Proudly serving West Virginia in the U.S. Senate.",2025-12-08 23:34:23
repandrecarson,Rep. André Carson,27147,231,1419,False,True,"Official account for Congressman André Carson of Indiana's 7th District in Indianapolis, IN.",2025-12-08 23:34:34
judgecarter,Congressman John Carter,3526,138,785,False,True,"Proud Red Raider, former Judge, grandfather of 7. Congressman serving #TX31. 🇺🇸",2025-12-08 23:34:45
senbillcassidy,"Senator Bill Cassidy, M.D.",6385,198,768,False,True,"Treated uninsured patients as a doctor in Louisiana’s charity hospital system, now serving the people of my state in the U.S. Senate. Proud #LSU grad!",2025-12-08 23:34:56
usrepkathycastor,Kathy Castor,13736,1581,1733,False,True,Tampa Bay's Congresswoman ⚡️🌴🌤,2025-12-08 23:35:08
repjudychu,Rep. Judy Chu,20679,5123,790,False,True,Representing California's 28th Congressional District in the House of Representatives.,2025-12-08 23:35:23
repcleaver,"Emanuel Cleaver, II",8283,313,495,False,True,"Proudly representing MO’s Fifth Congressional District- home district of President Harry Truman, world-class BBQ, & Chiefs Kingdom",2025-12-08 23:35:50
repjamesclyburn,Congressman Jim Clyburn,70852,286,369,False,True,U.S. Congressman representing South Carolina’s 6th Congressional District,2025-12-08 23:36:02
repcohen,Rep. Steve Cohen,13303,206,227,False,True,"Congressman for TN09
Memphis | Transportation | Judiciary | Civil Rights & Liberties | Medical Research | Animal Welfare | Helsinki Commission",2025-12-08 23:36:14
tomcoleok04,Congressman Tom Cole,7085,65,368,False,True,Proud to serve and represent the Fourth District of Oklahoma in the U.S. House of Representatives. #OK04,2025-12-08 23:36:27
repjoecourtney,Joe Courtney,5756,118,1312,False,True,U.S. Congressman proudly fighting for the residents of Connecticut’s 2nd Congressional District.,2025-12-08 23:36:37
mikecrapo,Senator Mike Crapo,11049,142,1029,False,True,U.S. Senator for the great state of Idaho!,2025-12-08 23:36:48
reprickcrawford,Rep Rick Crawford,3604,181,364,False,True,"Congressman Rick Crawford serves in the U.S. House of Reps on behalf of Ark.’s 1st District, which spans 30 counties across the state’s eastern half.",2025-12-08 23:37:00
repcuellar,Henry Cuellar,5252,72,2199,False,True,Proudly representing the 28th Congressional District of Texas.🇺🇸,2025-12-08 23:37:13
desjarlaistn04,Rep. Scott DesJarlais,6985,274,455,False,True,Individual Rights. Small Government. Strong Defense. Representing Tennessee’s Fourth District in Congress.,2025-12-08 23:37:23
repmariodb,Congressman Mario Díaz-Balart,42645,615,1692,False,True,"Proudly representing FL-26. Dean of FL’s Delegation. Vice Chair of @houseappropsgop, Chairman of Natl Security & Dept of State, & member of Defense.",2025-12-08 23:37:32
replloyddoggett,Rep. Lloyd Doggett,15957,268,2556,False,True,"Representing ATX in Congress. Leading Democrats on Ways & Means Health Subcommittee. Cyclist, Longhorn, husband to Libby, father, grandfather.",2025-12-08 23:37:42
repvirginiafoxx,Virginia Foxx,9655,110,828,False,True,Proudly serving North Carolina's 5th District in Congress.,2025-12-08 23:37:51
repgaramendi,Representative John Garamendi,19351,519,1704,False,True,"Father, Grandfather, Californian. Congressman for CA-08. Senior member of Armed Services and Transportation & Infrastructure Committees.",2025-12-08 23:38:04
repgosar,Dr. Gosar,19027,675,1137,False,True,Proudly serving the people of Arizona's 9th Congressional District.,2025-12-08 23:38:15
senatorchuckgrassley,Chuck Grassley,94091,129,6910,False,True,Official account of U.S. Senator Chuck Grassley. Serving the people of Iowa. #99countymeetings,2025-12-08 23:38:24
repsamgraves,Sam Graves,9033,205,289,False,True,Proudly representing Missouri's Sixth Congressional District. Chairman of @transportgop committee.,2025-12-08 23:38:35
repalgreen,Congressman Al Green,103001,183,977,False,True,Proud to represent the 9th Congressional District of Texas in the United States House of Representatives.,2025-12-08 23:38:46
hmorgangriffith,Rep. H. Morgan Griffith,3003,61,921,False,True,Proudly representing the Ninth District of Virginia.,2025-12-08 23:38:56
repguthrie,Congressman Brett Guthrie,3826,164,550,False,True,Proudly representing the people of Kentucky's Second District,2025-12-08 23:39:06
senatormartinheinrich,Senator Martin Heinrich,59292,382,2133,False,True,"U.S. Senator for NM. Husband, dad, hunter. Former Engineer/Current energy nerd. Respects hard work, NM values, & anyone w/a freezer full of wild game.",2025-12-08 23:39:15
repjimhimes,Representative Jim Himes,50178,310,1302,False,True,"Official Instagram of Congressman Jim Himes, representing Connecticut's 4th District in the United States Congress.",2025-12-08 23:39:28
maziehirono,Senator Mazie Hirono,36733,362,795,False,True,Proudly representing the people of Hawaii in the U.S. Senate,2025-12-08 23:39:38
senjohnhoeven,Senator John Hoeven,7146,173,1351,False,True,"U.S. Senator for North Dakota serving on the Senate Agriculture, Energy, Appropriations & Indian Affairs committees.",2025-12-08 23:39:47
rephuizenga,Congressman Bill Huizenga,6255,642,949,False,True,Welcome to my official Instagram account: A Window into Southwest Michigan & Washington.  I represent Michigan's 4th Congressional District,2025-12-08 23:40:08
rephankjohnson,Congressman Hank Johnson,17467,577,2165,False,True,"Father | Husband | Congressman for #GA04 | Ranking Member on @housejuddems Subcommittee on Courts, IP, AI & Internet | Senior Member on @transportdems",2025-12-08 23:40:19
senronjohnson,Senator Ron Johnson,66306,254,1130,False,True,"Official Instagram account for United States Senator Ron Johnson, proudly serving the great state of Wisconsin.",2025-12-08 23:40:28
repmarcykaptur,Representative Marcy Kaptur,7912,792,2224,False,True,Honored to serve the hard-working families in Ohio's 9th District. Longest-serving woman in Congress. Ranking Member on Energy & Water @AppropsDems.,2025-12-08 23:40:38
senatorlankford,Senator James Lankford,63286,265,1938,False,True,US Senator for Oklahoma,2025-12-08 23:40:52
repricklarsen,Rick Larsen,5686,1242,1896,False,True,"Born and raised in Arlington, WA. Representing WA’s beautiful 2nd Congressional District. Lead Democrat, House T&I Committee (@transportdems).",2025-12-08 23:41:02
repjohnblarson,John B. Larson,30994,214,1197,False,True,"Father, history buff, U.S. Rep. for Connecticut's First District",2025-12-08 23:41:15
boblatta,Rep. Bob Latta,3582,244,1664,False,True,Representing #OH5 in the U.S. Congress. Deputy Whip. Member of @EnergyAndCommerce and Chair of the Energy Subcommittee.,2025-12-08 23:41:25
senmikelee,Senator Mike Lee,48264,221,1157,False,True,I am a United States Senator from the great state of #Utah.,2025-12-08 23:41:37
repfranklucas,Rep. Frank Lucas,7628,120,362,False,True,"Husband, Dad, 5th Generation Oklahoman. Proudly representing Oklahoma’s Third Congressional District.",2025-12-08 23:41:48
senatorlujan,Senator Ben Ray Luján,53248,179,1607,False,True,"U.S. Senator for New Mexico. Born & raised in Nambé. Proud son of a union family. Farmer, mountain biker, delivering for the place we call home.",2025-12-08 23:41:59
repstephenlynch,Congressman Stephen F. Lynch,8950,531,707,False,True,Official account. Proudly serving the 8th Congressional District of Massachusetts.,2025-12-08 23:42:11
senmarkeymemes,US Senator Ed Markey,31920,568,587,False,True,"Official account for the Office of United States Senator Ed Markey, who once said the internet should be open, free, and chaotic.
🗳DM meme submissions",2025-12-08 23:42:27
repdorismatsui,Congresswoman Doris Matsui,5740,553,993,False,True,Doris represents California's 7th Congressional District — including the capital city of Sacramento. Subcommittee Ranking Member on @energycommerce.,2025-12-08 23:42:38
congressman_mccaul,Congressman Michael McCaul,8205,219,604,False,True,"Representing Texas' 10th Congressional District
Chairman Emeritus of @houseforeigngop",2025-12-08 23:42:51
repmcclintock,Congressman Tom McClintock,19794,41,489,False,True,"Honored to serve the people of California’s 5th Congressional District.
Member of @judiciarygop, @natresources & @housebudgetgop",2025-12-08 23:43:01
repbettymccollum,Rep. Betty McCollum,7372,340,495,False,True,Proudly representing Minnesota's Fourth District in the U.S. House of Representatives.,2025-12-08 23:43:12
repmcgovern,Rep. Jim McGovern,28250,815,820,False,True,"👨‍👩‍👧‍👦 Patrick & Molly’s Dad
👫🏻 Lisa’s Husband
🏡 is #WorcesterMA
🇺🇸 Working #ForThePeople of #MA02",2025-12-08 23:43:22
repgregorymeeks,Gregory Meeks,9330,122,1312,False,True,"Proudly serving the beautiful people of the 5th Congressional District of New York. 🗽
Twitter & Facebook: @repgregorymeeks",2025-12-08 23:43:31
repgwenmoore,US Rep. Gwen Moore,22184,679,1432,False,True,"Honored to represent Wisconsin’s 4th Congressional District. Proud mother/grandmother/great-grandmother. Loves poetry reading, knitting & crocheting.",2025-12-08 23:43:41
senjerrymoran,Senator Jerry Moran,88,0,0,False,False,,2025-12-08 23:43:49
senlisamurkowski,Senator Lisa Murkowski,32016,93,2247,False,True,Senior Senator from Alaska. Mother of two awesome boys. Wife to an incredible chef and husband. Dog lover. Avid downhill skier.,2025-12-08 23:43:58
senchrismurphy,Senator Chris Murphy,538431,88,2263,False,True,U.S. Senator from Connecticut,2025-12-08 23:44:09
senpattymurray,Senator Patty Murray,136009,200,1502,False,True,Washington state’s senior U.S. Senator | Senate Appropriations Vice Chair | Working every day to help people and solve problems,2025-12-08 23:44:21
congresswomannorton,Eleanor Holmes Norton,15168,1711,1026,False,True,"Member of Congress, representing the District of Columbia | #DCStatehood warrior on the Hill.",2025-12-08 23:44:31
repfrankpallone,"Rep. Frank Pallone, Jr.",7121,604,1433,False,True,"NJ-06 Congressman. Top Dem on @EnergyCommerce. Fighting to lower Rx costs, protect our shore, & hold polluters accountable. Long Branch born & bred.",2025-12-08 23:44:43
senatorrandpaul,Senator Rand Paul,478402,51,709,False,True,"U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.",2025-12-08 23:44:53
sengarypeters,Senator Gary Peters,19074,487,2105,False,True,U.S. Senator proudly representing the State of Michigan. 🏍️,2025-12-08 23:45:03
chelliepingree,Congresswoman Chellie Pingree,19800,199,2482,False,True,"Organic Farmer. Maine islander. Member of Congress, @appropsdems + @houseagdems",2025-12-08 23:45:12
repmikequigley,Rep. Mike Quigley,9194,670,1795,False,True,"Representing Illinois' 5th District. 
House Appropriations & Intel member, amateur hockey player, proud Cubs fan.",2025-12-08 23:45:23
rephalrogers,Rep. Hal Rogers,6719,200,281,False,True,Dean of the House. U.S. Representative for Kentucky’s 5th District since 1981 & the longest serving Kentucky Republican elected to federal office.,2025-12-08 23:45:33
repmikerogersal,Congressman Mike D. Rogers,5655,221,2412,False,True,Proudly representing Alabama's Third Congressional District.,2025-12-08 23:45:45
stevescalise,Steve Scalise,82612,331,1124,False,True,House Majority Leader. Dad. LSU & Saints fan. Proudly representing Louisiana’s First District.,2025-12-08 23:45:54
janschakowsky,Congresswoman Jan Schakowsky,11123,270,782,False,True,"Representing IL-09, got my start as a consumer advocate. Dog mom to Ellie, my golden retriever!",2025-12-08 23:46:04
senadamschiff,Senator Adam Schiff,565909,305,1741,False,True,Husband. Father. U.S. Senator for California. Fighting for an economy that works for everyone and for our democracy.,2025-12-08 23:46:20
senschumer,Chuck Schumer,432559,214,3356,False,True,"Official Account of Senator Chuck Schumer, New York’s Senator and the Senate Democratic Leader.",2025-12-08 23:46:30
repdavid,Rep. David Schweikert,8817,325,1035,False,True,Avid hiker and coffee enthusiast who is proud to represent Arizona's 1st Congressional District🌵,2025-12-08 23:46:40
repdavidscott,Congressman David Scott,3799,614,821,False,True,"The official Instagram account of Congressman David Scott, proudly representing Georgia's 13th District.",2025-12-08 23:46:48
repbobbyscott,Rep. Bobby Scott,7759,593,413,False,True,"Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and Workforce @edworkforcedems.",2025-12-08 23:46:58
senatortimscott,Senator Tim Scott,207885,531,2343,False,True,Just a South Carolinian living his mama’s American Dream | Chairman of Senate Banking Committee,2025-12-08 23:47:08
repterriasewell,Rep. Terri Sewell,36786,1189,1723,False,True,"Selma native, U.S. Congresswoman fighting for the people of Alabama's 7th Congressional District",2025-12-08 23:47:17
